Frame Number,Timecode,adaptive_ratio (w=2),average_rgb,content_val,delta_edges,delta_hue,delta_lum,delta_sat
1,00:00:00.000,None,57.012776692708336,None,None,None,None,None
2,00:00:00.033,None,57.012858072916664,0.004286024305555555,0.0,0.01220703125,0.0,0.0006510416666666666
3,00:00:00.067,255.0,59.31051070601852,6.618326822916667,12.340494791666666,1.4911295572916667,8.296332465277779,10.067518446180555
4,00:00:00.100,0.045391309535754674,59.3107005931713,0.07567455150462964,0.228271484375,0.15928819444444445,0.011366102430555556,0.05636935763888889
5,00:00:00.133,0.014136798898263907,59.31032081886574,0.02380823206018519,0.22135416666666666,0.045654296875,0.004367404513888889,0.021402994791666668
6,00:00:00.167,0.154559894318021,59.31120695891204,0.022216796875,0.11759440104166667,0.04600694444444445,0.004475911458333333,0.016167534722222224
7,00:00:00.200,0.14536746383612184,59.30979636863426,0.020308883101851853,0.11759440104166667,0.039360894097222224,0.0035807291666666665,0.017985026041666668
8,00:00:00.233,16.39439830646474,59.304786964699076,0.455177589699074,0.6363932291666666,0.8901638454861112,0.08430989583333333,0.3910590277777778
9,00:00:00.267,0.44961021552788466,59.30222800925926,0.05762622974537037,0.006917317708333333,0.1279025607638889,0.009331597222222222,0.03564453125
10,00:00:00.300,0.08084735536636053,59.30325882523148,0.010904947916666666,0.0,0.024441189236111112,0.0014105902777777778,0.006863064236111111
11,00:00:00.333,1.5178175172953923,59.30301468460648,0.026285807291666668,0.0,0.0720486111111111,0.001437717013888889,0.00537109375
12,00:00:00.367,0.0469123982766874,59.30301468460648,0.00044307002314814816,0.0,0.0004069010416666667,0.00035264756944444444,0.0005696614583333334
13,00:00:00.400,0.04370860927152318,59.30303276909722,0.00029839409722222225,0.0,0.00029839409722222225,0.000244140625,0.00035264756944444444
14,00:00:00.433,1.1228070175438596,59.30305085358796,0.00028935185185185184,0.0,0.00029839409722222225,0.00013563368055555556,0.00043402777777777775
15,00:00:00.467,1.9692307692307691,59.30303276909722,0.00028935185185185184,0.0,0.00029839409722222225,0.00013563368055555556,0.00043402777777777775
16,00:00:00.500,0.0,59.30303276909722,0.0,0.0,0.0,0.0,0.0
17,00:00:00.533,0.0,59.30303276909722,0.0,0.0,0.0,0.0,0.0
18,00:00:00.567,255.0,61.22710503472222,2.8342737268518516,6.965738932291667,0.3995496961805556,3.8889973958333335,4.214274088541667
19,00:00:00.600,0.0004028159351466345,61.226888020833336,0.00028935185185185184,0.0,0.0004069010416666667,0.00018988715277777778,0.0002712673611111111
20,00:00:00.633,0.045102780766036236,61.2276927806713,0.033266420717592594,0.0,0.07942708333333333,0.0014105902777777778,0.018961588541666668
21,00:00:00.667,0.1292092031083346,61.22776511863426,0.005750868055555556,0.0,0.013346354166666666,0.0008680555555555555,0.0030381944444444445
22,00:00:00.700,2.9236687101815124,61.23097511574074,0.10996274594907407,0.45654296875,0.23396809895833334,0.012966579861111112,0.08295355902777778
23,00:00:00.733,0.6508653764174268,61.235776548032405,0.0345142505787037,0.020751953125,0.06239149305555555,0.008626302083333334,0.032524956597222224
24,00:00:00.767,1.7653712447465368,61.233615451388886,0.07691333912037036,0.07609049479166667,0.18324110243055555,0.009141710069444444,0.03835720486111111
25,00:00:00.800,0.6350843586532086,61.235903139467595,0.019486038773148147,0.013834635416666666,0.04139539930555555,0.003228081597222222,0.013834635416666666
26,00:00:00.833,0.4207418342867688,61.236319082754626,0.010308159722222222,0.0,0.021484375,0.0011121961805555555,0.008327907986111112
27,00:00:00.867,0.12307692307692306,61.236300998263886,0.0009946469907407406,0.0,0.0007052951388888889,0.00048828125,0.0017903645833333333
28,00:00:00.900,0.18318523581681476,61.236328125,0.0006058304398148148,0.0,0.0005154079861111111,0.00035264756944444444,0.0009494357638888889
29,00:00:00.933,4.813559322033898,61.236246744791664,0.0019259982638888888,0.0,0.003987630208333333,0.00048828125,0.0013020833333333333
30,00:00:00.967,0.0,61.236246744791664,0.0,0.0,0.0,0.0,0.0
31,00:00:01.000,0.0,61.236246744791664,0.0,0.0,0.0,0.0,0.0
32,00:00:01.033,0.0,61.236246744791664,0.0,0.0,0.0,0.0,0.0
33,00:00:01.067,94.74463846243995,65.26417824074075,3.655128761574074,3.507080078125,0.7560763888888888,5.63623046875,4.573079427083333
34,00:00:01.100,0.07133539256890843,65.26254159432871,0.06687644675925926,0.0,0.17805989583333334,0.002658420138888889,0.019911024305555556
35,00:00:01.133,0.09352483195512354,65.26472981770833,0.08743851273148147,0.0,0.23673502604166666,0.0020345052083333335,0.023546006944444444
36,00:00:01.167,0.17027027027027034,65.26462131076389,0.007405598958333335,0.0,0.018473307291666668,0.0011121961805555555,0.002631293402777778
37,00:00:01.200,0.3921027674799552,65.26585105613425,0.01028103298611111,0.0,0.024142795138888888,0.0018988715277777778,0.004801432291666667
